"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"11","RT @hombretraficogt: Cerrarán puente Belice <U+0001F6D1>

Informa @CIVguate que será este domingo 21 de octubre 2018, de 05:00 a 08:00 horas.

Cc #tra…",FALSE,0,NA,2018-10-19 23:43:17,FALSE,NA,"1053431421690355713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","condesoficonde",8,TRUE,FALSE,NA,NA,2018-10-19 17:43:17
"12","RT @prensa_libre: #TráficoGT | Haber retirado el bordillo central incrementa las probabilidades de hechos tránsito, más estos otros problem…",FALSE,0,NA,2018-10-19 23:43:04,FALSE,NA,"1053431368833753089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaclicar7",3,TRUE,FALSE,NA,NA,2018-10-19 17:43:04
"13","RT @ferdy_jose: #traficogt ¿Y aún así quieren #EXPROPIARNOS el #Oct22? Asco Total: #CHAIRO #CHAIRO #CHAIRIpensamientos... <U+0001F468><U+200D><U+0001F33E><U+0001F525> https://t.co…",FALSE,0,NA,2018-10-19 23:43:04,FALSE,NA,"1053431367369932800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ferdy_jose",2,TRUE,FALSE,NA,NA,2018-10-19 17:43:04
"14","#URGENTE | La @ConredGuatemala reporta un nuevo colapso de drenajes en la 30 calle final del bulevar Sur de Ciudad… https://t.co/b1tv6aAMQW",FALSE,0,NA,2018-10-19 23:42:52,TRUE,NA,"1053431315784220673",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","prensa_libre",3,FALSE,FALSE,NA,NA,2018-10-19 17:42:52
"15","RT @hombretraficogt: Cerrarán puente Belice <U+0001F6D1>

Informa @CIVguate que será este domingo 21 de octubre 2018, de 05:00 a 08:00 horas.

Cc #tra…",FALSE,0,NA,2018-10-19 23:42:01,FALSE,NA,"1053431104680673280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nathalie_U",8,TRUE,FALSE,NA,NA,2018-10-19 17:42:01
"16","RT @amilcarmontejo: Cuesta Villa Lobos bloqueada por tráiler averiado. Quita carriles para usuarios de Ruta El Pacífico para calzada Aguila…",FALSE,0,NA,2018-10-19 23:40:23,FALSE,NA,"1053430692019871744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eerr1982",23,TRUE,FALSE,NA,NA,2018-10-19 17:40:23
"17","Viajeros tienen más de 4 horas de esperar que paso quede liberado en km 161, ruta a las Verapaces. Por derrumbe, se… https://t.co/cGVRBjcHIo",FALSE,0,NA,2018-10-19 23:38:29,TRUE,NA,"1053430214339059716",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexisponce",0,FALSE,FALSE,NA,NA,2018-10-19 17:38:29
"18","#traficogt prácticamente detenido desde inmediaciones del Irtra Petapa en ambos sentidos!
Esto sin lluvia!!!",FALSE,0,NA,2018-10-19 23:36:46,FALSE,NA,"1053429780832534528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giannigt",0,FALSE,FALSE,NA,NA,2018-10-19 17:36:46
"19","Hoy los leo ya desde mi cama...! #TraficoGT",FALSE,0,NA,2018-10-19 23:36:00,FALSE,NA,"1053429587563200512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","El_principitoGT",0,FALSE,FALSE,NA,NA,2018-10-19 17:36:00
"20","RT @EveeHernandez6: @amilcarmontejo  #traficogt periférico Norte camion con desperfectos https://t.co/tuRIzySDZk",FALSE,0,NA,2018-10-19 23:32:52,FALSE,NA,"1053428800749555714",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elAlexFreire",5,TRUE,FALSE,NA,NA,2018-10-19 17:32:52
"21","RT @hombretraficogt: Bronca en 2 avenida 7 calle zona 1 <U+0001F6D1>

Bici-taxista y Auto-taxista se pelearon, ya que no hubo cortesía para darse vía.…",FALSE,0,NA,2018-10-19 23:32:03,FALSE,NA,"1053428596130246656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elvecinochapin",51,TRUE,FALSE,NA,NA,2018-10-19 17:32:03
"22","RT @hombretraficogt: Cerrarán puente Belice <U+0001F6D1>

Informa @CIVguate que será este domingo 21 de octubre 2018, de 05:00 a 08:00 horas.

Cc #tra…",FALSE,0,NA,2018-10-19 23:31:23,FALSE,NA,"1053428428773429248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","By25Ana",8,TRUE,FALSE,NA,NA,2018-10-19 17:31:23
"23","Periférico sur @traficogt lento y trasporte pesado @amilcarmontejo @prensa_libre https://t.co/Lt2ECLdmvc",FALSE,0,NA,2018-10-19 23:28:23,FALSE,NA,"1053427672708247553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","express_foto",0,FALSE,FALSE,NA,NA,2018-10-19 17:28:23
"24","RT @hombretraficogt: Cerrarán puente Belice <U+0001F6D1>

Informa @CIVguate que será este domingo 21 de octubre 2018, de 05:00 a 08:00 horas.

Cc #tra…",FALSE,0,NA,2018-10-19 23:27:52,FALSE,NA,"1053427544156975106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smontenegro777",8,TRUE,FALSE,NA,NA,2018-10-19 17:27:52
"25","RT @Aleemc_12: “Ya no sé si dar mi dirección o mi número de placa” #traficogt",FALSE,0,NA,2018-10-19 23:26:27,FALSE,NA,"1053427185325932546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carlosmhx",1,TRUE,FALSE,NA,NA,2018-10-19 17:26:27
"26","RT @piucarrera: Si me miran en el bello #TraficoGT hay me saludan, no sean maleducados. <U+0001F601> https://t.co/3UMkpH8TcG",FALSE,0,NA,2018-10-19 23:24:10,FALSE,NA,"1053426611649986564",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeonSalvaje11",5,TRUE,FALSE,NA,NA,2018-10-19 17:24:10
